Rank,Name,Price,MarketCap
1,BitcoinBTC,"$80,551.07","$1.61T$1,610,379,704,965"
2,EthereumETH,"$2,254.07","$271.55B$271,552,235,567"
3,TetherUSDT,$0.9997,"$189.78B$189,780,025,174"
4,BNBBNB,$679.38,"$91.43B$91,431,498,638"
5,XRPXRP,$1.46,"$90.44B$90,435,045,694"
6,USDCUSDC,$0.9995,"$76.62B$76,619,997,766"
7,SolanaSOL,$90.62,"$52.38B$52,382,121,474"
8,TRONTRX,$0.3527,"$33.44B$33,443,209,365"
9,DogecoinDOGE,$0.1138,"$17.55B$17,553,350,287"
10,HyperliquidHYPE,$45.78,"$11.66B$11,655,543,704"
11,CardanoADA,$0.2660,"$9.64B$9,635,440,036"
12,UNUS SED LEOLEO,$10.18,"$9.38B$9,376,669,637"
13,ZcashZEC,$541.66,"$9.03B$9,032,782,129"
14,Bitcoin CashBCH,$433.92,"$8.69B$8,693,483,293"
101,First Digital USDFDUSD,$0.9980,"$393.27M$393,265,974"
102,SPX6900SPX,$0.4192,"$390.3M$390,300,227"
103,ImmutableIMX,$0.1940,"$388.14M$388,139,661"
104,ConfluxCFX,$0.07430,"$387.02M$387,020,206"
105,sirenSIREN,$0.5273,"$383.26M$383,263,249"
106,Sun [New]SUN,$0.01967,"$378.23M$378,232,630"
107,KiteKITE,$0.2080,"$374.42M$374,419,777"
108,SKYAISKYAI,$0.3680,"$368.1M$368,096,831"
109,ether.fiETHFI,$0.4297,"$359.3M$359,295,709"
110,Zebec NetworkZBCN,$0.003507,"$350.7M$350,697,877"
111,TelcoinTEL,$0.003627,"$348.51M$348,506,531"
112,DoubleZero2Z,$0.1002,"$347.99M$347,987,018"
113,MonadMON,$0.02916,"$344.87M$344,872,340"
114,PendlePENDLE,$2.01,"$342.95M$342,945,504"
115,GnosisGNO,$124.99,"$329.94M$329,936,553"
201,RainRAIN,$0.007487,"$3.58B$3,582,054,842"
202,Ondo US Dollar YieldUSDY,$1.13,"$1.89B$1,893,788,681"
203,HTXHTX,$0.051966,"$1.78B$1,780,933,640"
204,Falcon USDUSDf,$0.9985,"$1.62B$1,617,415,612"
205,LABLAB,$3.89,"$1.21B$1,208,758,524"
206,Jupiter Perps LPJLP,$4.03,"$950.2M$950,200,425"
207,c8ntinuumCTM,$0.2104,"$938.16M$938,157,644"
208,BeldexBDX,$0.07903,"$611.61M$611,606,830"
209,GHOGHO,$0.9993,"$583.61M$583,608,681"
210,Usual USDUSD0,$0.9979,"$564.17M$564,170,527"
211,UnibaseUB,$0.2220,"$555.16M$555,161,266"
212,Billions NetworkBILL,$0.2140,"$519.83M$519,825,697"
213,USDaiUSDAI,$0.9998,"$501.28M$501,283,751"
214,USDGOUSDGO,$0.9997,"$401.43M$401,430,752"
215,Solstice USXUSX,$0.9995,"$359.53M$359,526,926"
301,RoninRON,$0.1011,"$78.11M$78,109,348"
302,ZetaChainZETA,$0.05477,"$77.38M$77,375,433"
303,AmpAMP,$0.0008848,"$76.79M$76,790,338"
304,AxelarAXL,$0.06552,"$76.64M$76,635,948"
305,Alchemy PayACH,$0.007651,"$76.51M$76,514,656"
306,PlaysOutPLAY,$0.1139,"$76.47M$76,468,938"
307,Nervos NetworkCKB,$0.001562,"$76.2M$76,198,924"
308,CysicCYS,$0.4728,"$76.03M$76,033,863"
309,lisUSDlisUSD,$0.9980,"$75.91M$75,910,654"
310,HoloHOT,$0.0004303,"$75.71M$75,714,495"
311,AstarASTR,$0.008698,"$75.59M$75,590,212"
312,Alphabet tokenized stock (xStock)GOOGLX,$393.62,"$74.58M$74,578,725"
313,Joseon MunJSM,$0.0002355,"$74.55M$74,549,551"
314,MultiBank GroupMBG,$0.2999,"$74.33M$74,328,588"
315,ComedianBAN,$0.07421,"$74.21M$74,214,546"
401,SiacoinSC,$0.0009635,"$53.99M$53,985,851"
402,StraitsX USDXUSD,$0.9996,"$53.84M$53,843,273"
403,JanctionJCT,$0.004664,"$53.61M$53,613,247"
404,AleoALEO,$0.04795,"$53.41M$53,411,720"
405,PaycoinPCI,$0.05011,"$53.43M$53,430,546"
406,RedStoneRED,$0.1382,"$53.33M$53,325,652"
407,World Mobile TokenWMTX,$0.06244,"$53.2M$53,197,616"
